latitude	longitude	depth	LITH	Fe	Th	U	P
1300.335696	74706.50404	-423.3968573	D	-0.78	-2.02	-3.24	-1.01
1300.336393	74706.49983	-423.4033275	G	1.48	2	1	1.41
1300.337513	74706.49304	-423.4137592	D	-2.16	-0.97	-0.97	-1.8
1300.339561	74706.48052	-423.4329469	D	-1.61	-2.05	0.51	-4.65
1300.342205	74706.46423	-423.4579981	D	-2.28	-1.29	-1.75	-1.98
1300.344805	74706.44801	-423.4831031	D	-1.89	-1.5	-2.28	-1.65
1300.347011	74706.43409	-423.5046542	D	-2.31	-2.37	-0.73	-2.12
1300.348172	74706.42679	-423.5159478	G	1.7	1.3	4.18	1.51
1300.349488	74706.41854	-423.528705	C	2.16	1.35	1.52	0.46
1300.35187	74706.40358	-423.5519601	C	3.25	2.85	3.36	0.96
1300.354368	74706.38801	-423.576294	C	2.27	2.81	2.04	0.09
1300.35643	74706.37525	-423.5962214	C	0.53	3.06	0.72	1.78
1300.357939	74706.36585	-423.6109058	E	-2.57	-3.01	-1.15	-2.81
1300.358976	74706.35928	-423.6211901	A	-2.78	-1.3	-2.2	-2.49
1300.360149	74706.35177	-423.63295	A	-2.66	-2.73	-3.77	-1.54
1300.361397	74706.34374	-423.6455588	A	-1.68	-2.35	-4.05	-1.88
1300.362514	74706.33652	-423.6569085	A	-1.13	-1.3	-3.75	-2.13
1300.363566	74706.32969	-423.6676208	A	-2.36	-2.28	-2.85	-1.98
1300.364971	74706.32057	-423.6818976	A	-1.24	-0.71	-1.97	-4.22
1300.366467	74706.31105	-423.6968084	D	-2.36	-1.14	-1.84	0.08
1300.368021	74706.30145	-423.7119521	D	-0.52	-2.17	-1.57	-2.29
1300.370429	74706.28702	-423.7349425	D	-1.04	0.16	-2.07	0.59
1300.372647	74706.27352	-423.7564645	D	-2.57	-1.58	-0.58	-3.05
1300.373911	74706.26585	-423.7687059	C	1.89	1.67	2.45	3.77
1300.375615	74706.25556	-423.7851765	D	-2.02	-0.92	0.12	0.24
1300.378097	74706.2404	-423.8094832	D	-1.34	-0.46	-1.39	-2.74
1300.380204	74706.22733	-423.8303946	C	2.48	2.77	3.84	1.08
1300.382124	74706.215	-423.850012	C	2.39	0.82	1.8	1.54
1300.383763	74706.20425	-423.867094	C	3.08	2.22	1.99	1.78
1300.384949	74706.19643	-423.8795448	C	2.42	0.56	1.81	0.55
1300.386141	74706.18849	-423.8922152	D	-1.02	-1.42	-1.6	-3.18
1300.387999	74706.17593	-423.9122842	D	-1.93	-1.15	-0.98	-1.59
1300.390317	74706.16	-423.9376014	A	-0.71	-1.78	-1.54	-2.03
1300.392596	74706.1441	-423.96294	A	0.77	-2.94	-3.07	-2.97
1300.394804	74706.12828	-423.9883328	A	0.15	-3.05	-3.3	-2.09
1300.397004	74706.11244	-424.0137155	A	-2.73	-2.17	-1.52	-2.51
1300.399174	74706.09662	-424.0391121	A	-1.44	-4.25	-3.56	-2.24
1300.401297	74706.08087	-424.0645528	A	-2.09	-2.38	-2.72	-3.71
1300.403391	74706.06512	-424.0899991	A	-3.94	-3.98	-1.45	-2.73
1300.404959	74706.053	-424.1094862	A	-1.46	-3.3	-1.7	-3.05
1300.405666	74706.04748	-424.1183876	D	-2.53	-1.23	-0.14	-1.2
1300.40637	74706.04196	-424.1272959	D	-2.04	-1.13	0.03	-2.05
1300.407532	74706.03279	-424.1421525	D	1.73	-2.28	-1.78	-2.72
1300.409004	74706.021	-424.1612609	D	-0.23	-1.8	-1.89	-2.95
1300.41064	74706.00774	-424.1826845	D	0.61	-1.4	-1.85	-0.85
1300.41241	74705.99302	-424.2064378	A	-1.43	-2.79	-2.31	-3.43
1300.413598	74705.98291	-424.2227793	A	-1.58	-2.77	-1.05	-2.41
1300.414465	74705.97544	-424.2348831	A	-2.21	-2.97	-2.16	-2.06
1300.415319	74705.96809	-424.2467682	D	-1.45	-1.67	-2.36	-2.15
1300.416313	74705.95954	-424.2605523	A	-2.77	-0.45	-1.95	-3.07
1300.417276	74705.95111	-424.2741149	A	-2.88	-2.93	-1.75	-2.23
1300.418625	74705.93898	-424.2936078	A	-1.69	-1.65	-2.64	-3.69
1300.420351	74705.92322	-424.3190791	A	-2.65	-1.08	-0.37	-4.79
1300.422036	74705.90748	-424.3445631	A	-1.18	-1.1	-2.19	-3.79
1300.423332	74705.89485	-424.364929	A	-2.29	-2.59	-2.61	-1.36
1300.424506	74705.88317	-424.3838324	D	-2.16	-1.87	-3.3	-1.9
1300.425545	74705.87257	-424.4010551	D	-1.94	-1.13	-1.29	-1.42
1300.426316	74705.86446	-424.4142418	C	1.62	1.92	2.29	4.17
1300.42708	74705.8562	-424.4276292	D	-1.62	-1.82	-1.78	-2.46
1300.428131	74705.8445	-424.4465232	D	-0.51	-2.54	-1.26	-1.03
1300.429224	74705.83201	-424.4666938	D	-1.71	-2.22	-2.17	-1.44
1300.430293	74705.81955	-424.4868843	A	-1.71	-3.36	-1.43	-2.28
1300.433335	74705.78147	-424.5485048	A	-2.79	-1.83	-3.24	-3.01
1300.435609	74705.75014	-424.5996252	A	-2.92	-2.18	-2.61	-2.83
1300.436665	74705.73444	-424.6251685	A	-1.43	-2.78	-3.27	-2.19
1300.438671	74705.70321	-424.6763566	A	-1.83	-2.29	-3.33	-2.43
1300.440098	74705.67919	-424.7155611	E	-1.11	-3.3	-2.27	-2.51
1300.441346	74705.65628	-424.7531065	I	0.8	2.44	3.06	0.53
1300.442815	74705.625	-424.8042854	I	3.85	0.91	0.78	1.52
1300.445209	74705.54684	-424.9322911	I	0.59	3.62	1.13	0.5
1300.445737	74705.51547	-424.9834362	I	0.97	0.6	0	0.39
1300.446182	74705.46895	-425.0593106	I	0.93	2.67	2.71	1.84
1300.446142	74705.4191	-425.1407647	I	2.84	1.81	-0.24	1.17
1300.445438	74705.36358	-425.2316464	J	-0.53	-0.82	-0.61	-2.53
1300.445277	74705.35655	-425.2431693	I	2.63	2.72	2.21	1.58
1300.445094	74705.34887	-425.2557624	J	-1.19	0.65	-0.8	-1.1
1300.444661	74705.33251	-425.2823849	I	1.76	0.56	1.89	2.83
1300.444259	74705.31979	-425.303025	B	0.67	0.64	-0.58	-0.16
1300.442784	74705.28062	-425.3666721	I	0.6	2.01	2	1.64
1300.439586	74705.21795	-425.4686616	I	2.01	2.23	1.29	2.08
1300.438603	74705.20188	-425.4948615	I	1.72	1.04	1.42	2.01
1300.436438	74705.17052	-425.5459662	I	1.35	1.52	2.06	2.77
1301.002132	74704.94072	-421.0553872	A	-2.13	-2.89	-1.62	-3.47
1300.993298	74704.9522	-421.0712778	A	-2.27	-2.17	-1.08	-4.12
1300.983634	74704.96477	-421.0886212	A	-3.07	-3.17	-1.84	-2.22
1300.975821	74704.97496	-421.1026259	A	-2.23	-1.52	-0.81	-2.49
1300.971504	74704.9806	-421.1103599	D	-3.84	-1.96	-1.62	-2.46
1300.968215	74704.9849	-421.1162539	A	-0.01	-3.38	-3.14	-2.06
1300.961225	74704.99401	-421.1287871	A	-2.28	-3.59	-3.18	-2.47
1300.952185	74705.0058	-421.1450133	A	-2.17	-2.49	-2.53	-4.02
1300.942533	74705.01841	-421.1623356	D	-0.27	-1.01	-0.66	-1.58
1300.932746	74705.03117	-421.1798107	A	-1.89	-3.13	-3.1	-0.08
1300.921604	74705.04565	-421.199689	A	-0.67	-1.14	-1.65	-1.32
1300.911509	74705.05877	-421.2177516	D	-1.73	-1.78	-3.06	-2.63
1300.903474	74705.06922	-421.2321228	D	-1.49	-0.48	-0.55	-2.48
1300.896556	74705.07821	-421.244443	D	-1.3	-2.54	-2.43	-1.55
1300.887679	74705.08979	-421.2602401	C	1.34	3.36	2.85	2.4
1300.876965	74705.10378	-421.2793529	A	-1.84	-4.51	-3.69	-2.35
1300.864335	74705.12032	-421.3019962	A	-2.37	-3.51	-2.1	-2.72
1300.852339	74705.13608	-421.3235156	A	-3.04	-2.75	-2.5	-3.06
1300.840859	74705.15118	-421.3441096	A	-0.66	-1.93	-1.37	-2.53
1300.829319	74705.16639	-421.3649375	A	-0.49	-1.6	-4.13	-1.25
1300.820258	74705.17837	-421.3813485	A	-3.28	-0.89	-3.23	-2.82
1300.812209	74705.18903	-421.3959007	A	-2.31	-3.54	-2.39	-1.79
1300.802847	74705.20144	-421.4128461	D	-3.45	-0.53	-1.42	-3.2
1300.792599	74705.21507	-421.4314698	D	-1.98	-2.83	-0.48	-2.11
1300.781166	74705.23031	-421.4523293	A	-1.12	-3.08	-1.9	-1.97
1300.770642	74705.24437	-421.4714983	A	-1.11	-3.04	-1.89	-4.57
